[tm1:1507851222676494,tm2:1507851222680580(4086),tm3:1507851222681470(4976),tm4:1507851222681479(4985)]
[tm1:1507851222720429,tm2:1507851222724672(4243),tm3:1507851222725555(5126),tm4:1507851222725563(5134)]
[tm1:1507851222756982,tm2:1507851222761166(4184),tm3:1507851222761953(4971),tm4:1507851222761962(4980)]
[tm1:1507851222793601,tm2:1507851222797802(4201),tm3:1507851222798695(5094),tm4:1507851222798704(5103)]
[tm1:1507851222834129,tm2:1507851222838513(4384),tm3:1507851222839401(5272),tm4:1507851222839409(5280)]
[tm1:1507851222879099,tm2:1507851222883214(4115),tm3:1507851222884090(4991),tm4:1507851222884100(5001)]
[tm1:1507851222920027,tm2:1507851222924183(4156),tm3:1507851222925027(5000),tm4:1507851222925037(5010)]
[tm1:1507851222963496,tm2:1507851222967653(4157),tm3:1507851222968523(5027),tm4:1507851222968531(5035)]
[tm1:1507851223003615,tm2:1507851223007830(4215),tm3:1507851223008761(5146),tm4:1507851223008768(5153)]
[tm1:1507851223047735,tm2:1507851223051849(4114),tm3:1507851223052709(4974),tm4:1507851223052718(4983)]
[tm1:1507851223091152,tm2:1507851223095229(4077),tm3:1507851223096152(5000),tm4:1507851223096166(5014)]
[tm1:1507851223133747,tm2:1507851223137955(4208),tm3:1507851223138927(5180),tm4:1507851223138937(5190)]
[tm1:1507851223174542,tm2:1507851223178893(4351),tm3:1507851223179917(5375),tm4:1507851223179927(5385)]
[tm1:1507851223212398,tm2:1507851223216607(4209),tm3:1507851223217688(5290),tm4:1507851223217697(5299)]
[tm1:1507851223248782,tm2:1507851223443917(195135),tm3:1507851223445044(196262),tm4:1507851223445054(196272)]
[tm1:1507851223482513,tm2:1507851223487943(5430),tm3:1507851223489492(6979),tm4:1507851223489503(6990)]
[tm1:1507851223530495,tm2:1507851223536016(5521),tm3:1507851223537285(6790),tm4:1507851223537301(6806)]
[tm1:1507851223569627,tm2:1507851223575151(5524),tm3:1507851223576720(7093),tm4:1507851223576734(7107)]
[tm1:1507851223610295,tm2:1507851223615945(5650),tm3:1507851223617497(7202),tm4:1507851223617509(7214)]
[tm1:1507851223656130,tm2:1507851223661703(5573),tm3:1507851223663148(7018),tm4:1507851223663163(7033)]
[tm1:1507851223703545,tm2:1507851223709255(5710),tm3:1507851223710749(7204),tm4:1507851223710763(7218)]
[tm1:1507851223750661,tm2:1507851223756252(5591),tm3:1507851223757767(7106),tm4:1507851223757781(7120)]
[tm1:1507851223789317,tm2:1507851223795175(5858),tm3:1507851223796713(7396),tm4:1507851223796727(7410)]
[tm1:1507851223828918,tm2:1507851223834517(5599),tm3:1507851223836148(7230),tm4:1507851223836162(7244)]
[tm1:1507851223876684,tm2:1507851223882328(5644),tm3:1507851223883901(7217),tm4:1507851223883915(7231)]
[tm1:1507851223922847,tm2:1507851223928600(5753),tm3:1507851223930971(8124),tm4:1507851223930990(8143)]
[tm1:1507851223969225,tm2:1507851223974837(5612),tm3:1507851223976637(7412),tm4:1507851223976650(7425)]
[tm1:1507851224012998,tm2:1507851224018642(5644),tm3:1507851224021093(8095),tm4:1507851224021112(8114)]
[tm1:1507851224059437,tm2:1507851224065200(5763),tm3:1507851224067282(7845),tm4:1507851224067298(7861)]
[tm1:1507851224103905,tm2:1507851224109572(5667),tm3:1507851224111299(7394),tm4:1507851224111313(7408)]
[tm1:1507851224151153,tm2:1507851224156717(5564),tm3:1507851224158527(7374),tm4:1507851224158539(7386)]
[tm1:1507851224194147,tm2:1507851224199817(5670),tm3:1507851224201656(7509),tm4:1507851224201671(7524)]
[tm1:1507851224242196,tm2:1507851224248002(5806),tm3:1507851224250907(8711),tm4:1507851224250926(8730)]
[tm1:1507851224288436,tm2:1507851224294233(5797),tm3:1507851224297749(9313),tm4:1507851224297772(9336)]
[tm1:1507851224337764,tm2:1507851224343325(5561),tm3:1507851224346126(8362),tm4:1507851224346147(8383)]
[tm1:1507851224384543,tm2:1507851224390344(5801),tm3:1507851224392232(7689),tm4:1507851224392244(7701)]
[tm1:1507851224432964,tm2:1507851224438733(5769),tm3:1507851224441685(8721),tm4:1507851224441706(8742)]
[tm1:1507851224479922,tm2:1507851224485646(5724),tm3:1507851224487644(7722),tm4:1507851224487657(7735)]
[tm1:1507851224523030,tm2:1507851224528666(5636),tm3:1507851224531257(8227),tm4:1507851224531274(8244)]
[tm1:1507851224571140,tm2:1507851224576760(5620),tm3:1507851224578948(7808),tm4:1507851224578961(7821)]
[tm1:1507851224614465,tm2:1507851224822167(207702),tm3:1507851224824282(209817),tm4:1507851224824295(209830)]
[tm1:1507851224860707,tm2:1507851224867808(7101),tm3:1507851224870256(9549),tm4:1507851224870269(9562)]
[tm1:1507851224902747,tm2:1507851224909662(6915),tm3:1507851224912325(9578),tm4:1507851224912343(9596)]
[tm1:1507851224945727,tm2:1507851224952810(7083),tm3:1507851224956886(11159),tm4:1507851224956918(11191)]
[tm1:1507851224997140,tm2:1507851225004200(7060),tm3:1507851225008675(11535),tm4:1507851225008707(11567)]
[tm1:1507851225047035,tm2:1507851225054172(7137),tm3:1507851225059594(12559),tm4:1507851225059625(12590)]
[tm1:1507851225097580,tm2:1507851225104684(7104),tm3:1507851225107621(10041),tm4:1507851225107638(10058)]
[tm1:1507851225142679,tm2:1507851225149761(7082),tm3:1507851225154149(11470),tm4:1507851225154170(11491)]
[tm1:1507851225190285,tm2:1507851225197322(7037),tm3:1507851225200273(9988),tm4:1507851225200288(10003)]
[tm1:1507851225232659,tm2:1507851225239555(6896),tm3:1507851225242405(9746),tm4:1507851225242427(9768)]
[tm1:1507851225278929,tm2:1507851225285976(7047),tm3:1507851225291486(12557),tm4:1507851225291515(12586)]
[tm1:1507851225328004,tm2:1507851225335189(7185),tm3:1507851225338425(10421),tm4:1507851225338442(10438)]
[tm1:1507851225373234,tm2:1507851225380501(7267),tm3:1507851225383637(10403),tm4:1507851225383656(10422)]
[tm1:1507851225423051,tm2:1507851225430081(7030),tm3:1507851225434108(11057),tm4:1507851225434146(11095)]
[tm1:1507851225473794,tm2:1507851225481119(7325),tm3:1507851225484562(10768),tm4:1507851225484615(10821)]
[tm1:1507851225523992,tm2:1507851225531180(7188),tm3:1507851225534393(10401),tm4:1507851225534430(10438)]
[tm1:1507851225573715,tm2:1507851225579321(5606),tm3:1507851225582304(8589),tm4:1507851225582322(8607)]
[tm1:1507851225622070,tm2:1507851225627929(5859),tm3:1507851225631237(9167),tm4:1507851225631257(9187)]
[tm1:1507851225664997,tm2:1507851225670751(5754),tm3:1507851225672974(7977),tm4:1507851225672990(7993)]
[tm1:1507851225705621,tm2:1507851225711316(5695),tm3:1507851225713535(7914),tm4:1507851225713548(7927)]
[tm1:1507851225745387,tm2:1507851225751240(5853),tm3:1507851225753521(8134),tm4:1507851225753537(8150)]
[tm1:1507851225785827,tm2:1507851225791561(5734),tm3:1507851225794109(8282),tm4:1507851225794127(8300)]
[tm1:1507851225826381,tm2:1507851225832106(5725),tm3:1507851225834555(8174),tm4:1507851225834569(8188)]
[tm1:1507851225866792,tm2:1507851225872311(5519),tm3:1507851225875149(8357),tm4:1507851225875172(8380)]
[tm1:1507851225914418,tm2:1507851225921551(7133),tm3:1507851225926008(11590),tm4:1507851225926034(11616)]
[tm1:1507851225966575,tm2:1507851225973640(7065),tm3:1507851225980283(13708),tm4:1507851225980307(13732)]
[tm1:1507851226017947,tm2:1507851226025173(7226),tm3:1507851226028769(10822),tm4:1507851226028786(10839)]
[tm1:1507851226060834,tm2:1507851226067872(7038),tm3:1507851226073145(12311),tm4:1507851226073174(12340)]
[tm1:1507851226109536,tm2:1507851226116586(7050),tm3:1507851226119641(10105),tm4:1507851226119657(10121)]
[tm1:1507851226156321,tm2:1507851226163336(7015),tm3:1507851226168637(12316),tm4:1507851226168670(12349)]
[tm1:1507851226208302,tm2:1507851226215709(7407),tm3:1507851226220372(12070),tm4:1507851226220398(12096)]
[tm1:1507851226256631,tm2:1507851226263720(7089),tm3:1507851226269995(13364),tm4:1507851226270027(13396)]
[tm1:1507851226307294,tm2:1507851226314733(7439),tm3:1507851226318045(10751),tm4:1507851226318061(10767)]
[tm1:1507851226352789,tm2:1507851226359953(7164),tm3:1507851226364981(12192),tm4:1507851226365001(12212)]
[tm1:1507851226401446,tm2:1507851226407294(5848),tm3:1507851226410528(9082),tm4:1507851226410542(9096)]
[tm1:1507851226448649,tm2:1507851226454536(5887),tm3:1507851226459084(10435),tm4:1507851226459107(10458)]
[tm1:1507851226499074,tm2:1507851226505025(5951),tm3:1507851226508160(9086),tm4:1507851226508175(9101)]
[tm1:1507851226545856,tm2:1507851226552975(7119),tm3:1507851226557589(11733),tm4:1507851226557615(11759)]
[tm1:1507851226598263,tm2:1507851226604793(6530),tm3:1507851226610122(11859),tm4:1507851226610144(11881)]
[tm1:1507851226649491,tm2:1507851226655448(5957),tm3:1507851226658370(8879),tm4:1507851226658383(8892)]
[tm1:1507851226692201,tm2:1507851226698399(6198),tm3:1507851226701620(9419),tm4:1507851226701636(9435)]
[tm1:1507851226737256,tm2:1507851226743293(6037),tm3:1507851226746562(9306),tm4:1507851226746590(9334)]
[tm1:1507851226780680,tm2:1507851226786623(5943),tm3:1507851226789636(8956),tm4:1507851226789665(8985)]
[tm1:1507851226825341,tm2:1507851226831220(5879),tm3:1507851226834330(8989),tm4:1507851226834353(9012)]
[tm1:1507851226873329,tm2:1507851226881059(7730),tm3:1507851226886559(13230),tm4:1507851226886587(13258)]
[tm1:1507851226927382,tm2:1507851226934924(7542),tm3:1507851226939496(12114),tm4:1507851226939515(12133)]
[tm1:1507851226974674,tm2:1507851226982219(7545),tm3:1507851226986377(11703),tm4:1507851226986398(11724)]
[tm1:1507851227021429,tm2:1507851227242621(221192),tm3:1507851227246377(224948),tm4:1507851227246398(224969)]
[tm1:1507851227278935,tm2:1507851227287884(8949),tm3:1507851227291881(12946),tm4:1507851227291899(12964)]
[tm1:1507851227324420,tm2:1507851227333617(9197),tm3:1507851227337582(13162),tm4:1507851227337602(13182)]
[tm1:1507851227369172,tm2:1507851227378125(8953),tm3:1507851227382483(13311),tm4:1507851227382510(13338)]
[tm1:1507851227412037,tm2:1507851227420934(8897),tm3:1507851227425564(13527),tm4:1507851227425584(13547)]
[tm1:1507851227457813,tm2:1507851227465383(7570),tm3:1507851227469641(11828),tm4:1507851227469664(11851)]
[tm1:1507851227506132,tm2:1507851227513594(7462),tm3:1507851227517680(11548),tm4:1507851227517697(11565)]
[tm1:1507851227557876,tm2:1507851227565306(7430),tm3:1507851227569431(11555),tm4:1507851227569449(11573)]
[tm1:1507851227602497,tm2:1507851227611510(9013),tm3:1507851227616015(13518),tm4:1507851227616036(13539)]
[tm1:1507851227647324,tm2:1507851227881971(234647),tm3:1507851227886835(239511),tm4:1507851227886857(239533)]
[tm1:1507851227925836,tm2:1507851227936489(10653),tm3:1507851227941512(15676),tm4:1507851227941534(15698)]
[tm1:1507851227976619,tm2:1507851227987288(10669),tm3:1507851227992263(15644),tm4:1507851227992286(15667)]
[tm1:1507851228023386,tm2:1507851228034335(10949),tm3:1507851228039664(16278),tm4:1507851228039689(16303)]
[tm1:1507851228070357,tm2:1507851228080954(10597),tm3:1507851228086818(16461),tm4:1507851228086845(16488)]
[tm1:1507851228126249,tm2:1507851228136765(10516),tm3:1507851228142312(16063),tm4:1507851228142337(16088)]
[tm1:1507851228172850,tm2:1507851228183488(10638),tm3:1507851228189940(17090),tm4:1507851228189970(17120)]
[tm1:1507851228226628,tm2:1507851228237201(10573),tm3:1507851228242830(16202),tm4:1507851228242856(16228)]
[tm1:1507851228273590,tm2:1507851228284539(10949),tm3:1507851228290337(16747),tm4:1507851228290362(16772)]
[tm1:1507851228327070,tm2:1507851228337628(10558),tm3:1507851228346745(19675),tm4:1507851228346772(19702)]
[tm1:1507851228382369,tm2:1507851228393203(10834),tm3:1507851228406136(23767),tm4:1507851228406172(23803)]
[tm1:1507851228441394,tm2:1507851228452050(10656),tm3:1507851228458999(17605),tm4:1507851228459032(17638)]
[tm1:1507851228495231,tm2:1507851228505923(10692),tm3:1507851228512055(16824),tm4:1507851228512083(16852)]
[tm1:1507851228543173,tm2:1507851228553923(10750),tm3:1507851228561191(18018),tm4:1507851228561222(18049)]
[tm1:1507851228593644,tm2:1507851228604428(10784),tm3:1507851228611112(17468),tm4:1507851228611140(17496)]
[tm1:1507851228643264,tm2:1507851228654208(10944),tm3:1507851228660457(17193),tm4:1507851228660482(17218)]
[tm1:1507851228695721,tm2:1507851228706535(10814),tm3:1507851228713045(17324),tm4:1507851228713075(17354)]
[tm1:1507851228747716,tm2:1507851228758653(10937),tm3:1507851228765109(17393),tm4:1507851228765136(17420)]
[tm1:1507851228799768,tm2:1507851228810847(11079),tm3:1507851228817300(17532),tm4:1507851228817326(17558)]
[tm1:1507851228851801,tm2:1507851228862559(10758),tm3:1507851228869612(17811),tm4:1507851228869638(17837)]
[tm1:1507851228905484,tm2:1507851228916526(11042),tm3:1507851228923008(17524),tm4:1507851228923034(17550)]
[tm1:1507851228954977,tm2:1507851228965889(10912),tm3:1507851228972785(17808),tm4:1507851228972813(17836)]
