[tm1:1507791189852749,tm2:1507791189856682(3933),tm3:1507791189858704(5955),tm4:1507791189858715(5966)]
[tm1:1507791189901550,tm2:1507791189905561(4011),tm3:1507791189907800(6250),tm4:1507791189907812(6262)]
[tm1:1507791189950112,tm2:1507791189954058(3946),tm3:1507791189956131(6019),tm4:1507791189956142(6030)]
[tm1:1507791189995575,tm2:1507791189999702(4127),tm3:1507791190001775(6200),tm4:1507791190001787(6212)]
[tm1:1507791190041488,tm2:1507791190045526(4038),tm3:1507791190047804(6316),tm4:1507791190047816(6328)]
[tm1:1507791190089302,tm2:1507791190093363(4061),tm3:1507791190095501(6199),tm4:1507791190095512(6210)]
[tm1:1507791190135398,tm2:1507791190139501(4103),tm3:1507791190141639(6241),tm4:1507791190141650(6252)]
[tm1:1507791190185051,tm2:1507791190189028(3977),tm3:1507791190191187(6136),tm4:1507791190191198(6147)]
[tm1:1507791190234606,tm2:1507791190238584(3978),tm3:1507791190240741(6135),tm4:1507791190240751(6145)]
[tm1:1507791190284122,tm2:1507791190288082(3960),tm3:1507791190290267(6145),tm4:1507791190290278(6156)]
[tm1:1507791190333822,tm2:1507791190337877(4055),tm3:1507791190340074(6252),tm4:1507791190340085(6263)]
[tm1:1507791190383672,tm2:1507791190387683(4011),tm3:1507791190389954(6282),tm4:1507791190389964(6292)]
[tm1:1507791190433422,tm2:1507791190437370(3948),tm3:1507791190439591(6169),tm4:1507791190439603(6181)]
[tm1:1507791190483220,tm2:1507791190487190(3970),tm3:1507791190489437(6217),tm4:1507791190489451(6231)]
[tm1:1507791190533201,tm2:1507791190729552(196351),tm3:1507791190732090(198889),tm4:1507791190732102(198901)]
[tm1:1507791190773518,tm2:1507791190779059(5541),tm3:1507791190782538(9020),tm4:1507791190782551(9033)]
[tm1:1507791190825398,tm2:1507791190830986(5588),tm3:1507791190834629(9231),tm4:1507791190834651(9253)]
[tm1:1507791190878125,tm2:1507791190883648(5523),tm3:1507791190887762(9637),tm4:1507791190887777(9652)]
[tm1:1507791190927964,tm2:1507791190933511(5547),tm3:1507791190937636(9672),tm4:1507791190937652(9688)]
[tm1:1507791190977600,tm2:1507791190983210(5610),tm3:1507791190987361(9761),tm4:1507791190987376(9776)]
[tm1:1507791191027003,tm2:1507791191032614(5611),tm3:1507791191036809(9806),tm4:1507791191036829(9826)]
[tm1:1507791191078159,tm2:1507791191083816(5657),tm3:1507791191088050(9891),tm4:1507791191088070(9911)]
[tm1:1507791191129616,tm2:1507791191135328(5712),tm3:1507791191139613(9997),tm4:1507791191139633(10017)]
[tm1:1507791191181327,tm2:1507791191186954(5627),tm3:1507791191191246(9919),tm4:1507791191191261(9934)]
[tm1:1507791191232354,tm2:1507791191237935(5581),tm3:1507791191242258(9904),tm4:1507791191242274(9920)]
[tm1:1507791191286505,tm2:1507791191292123(5618),tm3:1507791191298126(11621),tm4:1507791191298147(11642)]
[tm1:1507791191340036,tm2:1507791191345676(5640),tm3:1507791191350081(10045),tm4:1507791191350097(10061)]
[tm1:1507791191390335,tm2:1507791191395877(5542),tm3:1507791191400315(9980),tm4:1507791191400331(9996)]
[tm1:1507791191440401,tm2:1507791191446020(5619),tm3:1507791191450513(10112),tm4:1507791191450529(10128)]
[tm1:1507791191490689,tm2:1507791191496287(5598),tm3:1507791191500827(10138),tm4:1507791191500843(10154)]
[tm1:1507791191541114,tm2:1507791191546793(5679),tm3:1507791191552392(11278),tm4:1507791191552443(11329)]
[tm1:1507791191594165,tm2:1507791191599937(5772),tm3:1507791191605374(11209),tm4:1507791191605401(11236)]
[tm1:1507791191649044,tm2:1507791191654692(5648),tm3:1507791191660307(11263),tm4:1507791191660326(11282)]
[tm1:1507791191702721,tm2:1507791191708497(5776),tm3:1507791191713488(10767),tm4:1507791191713509(10788)]
[tm1:1507791191757833,tm2:1507791191763527(5694),tm3:1507791191770044(12211),tm4:1507791191770065(12232)]
[tm1:1507791191812424,tm2:1507791191818160(5736),tm3:1507791191823126(10702),tm4:1507791191823147(10723)]
[tm1:1507791191867024,tm2:1507791191872727(5703),tm3:1507791191877511(10487),tm4:1507791191877532(10508)]
[tm1:1507791191919151,tm2:1507791191924875(5724),tm3:1507791191929710(10559),tm4:1507791191929731(10580)]
[tm1:1507791191969845,tm2:1507791191975526(5681),tm3:1507791191981398(11553),tm4:1507791191981423(11578)]
[tm1:1507791192023323,tm2:1507791192029093(5770),tm3:1507791192034954(11631),tm4:1507791192034976(11653)]
[tm1:1507791192078466,tm2:1507791192287277(208811),tm3:1507791192292550(214084),tm4:1507791192292568(214102)]
[tm1:1507791192333845,tm2:1507791192340990(7145),tm3:1507791192349442(15597),tm4:1507791192349467(15622)]
[tm1:1507791192391086,tm2:1507791192398172(7086),tm3:1507791192405267(14181),tm4:1507791192405289(14203)]
[tm1:1507791192446398,tm2:1507791192453541(7143),tm3:1507791192463285(16887),tm4:1507791192463307(16909)]
[tm1:1507791192504834,tm2:1507791192512006(7172),tm3:1507791192522739(17905),tm4:1507791192522762(17928)]
[tm1:1507791192564274,tm2:1507791192571388(7114),tm3:1507791192581821(17547),tm4:1507791192581852(17578)]
[tm1:1507791192622073,tm2:1507791192629109(7036),tm3:1507791192636233(14160),tm4:1507791192636261(14188)]
[tm1:1507791192676209,tm2:1507791192683320(7111),tm3:1507791192690472(14263),tm4:1507791192690492(14283)]
